Country,Region,Year,Crop_Type,Crop_Yield_Tonnes_per_Ha,Avg_Temperature_C,Annual_Rainfall_mm,Severe_Drought,Fertilizer_Usage_kg_ha,Pesticide_Usage_kg_ha,Food_Insecurity_Index
Turkey,Middle East & North Africa,2009,Wheat,5.25,22.81,915.3,No,76.4,2.89,37.5
Uganda,Sub-Saharan Africa,2008,Maize (Corn),7.83,27.29,1088.2,No,130.7,1.4,53.3
Mexico,North America,2011,Potatoes,23.66,13.72,692.5,No,110.6,1.12,19.4
Brazil,South America,2005,Potatoes,23.61,24.17,580.9,No,82.9,3.49,21.9
Sudan,Sub-Saharan Africa,2024,Potatoes,24.35,27.51,636.5,No,121.3,2.61,56.5
Ethiopia,Sub-Saharan Africa,2005,Rice,5.81,27.26,781.4,No,63.9,4.48,55.6
Vietnam,Southeast Asia,2005,Cassava,13.84,26.02,1342.9,No,89.7,5.52,34.2
Uganda,Sub-Saharan Africa,2018,Potatoes,24.22,27.35,1195.0,No,130.2,4.2,64.7
Australia,Oceania,2004,Soybeans,5.6,19.94,1330.8,No,152.6,4.24,20.8
Australia,Oceania,2019,Soybeans,5.68,23.0,1208.4,No,177.4,1.04,23.9
Pakistan,South Asia,2025,Soybeans,5.88,19.44,882.8,No,180.1,2.58,41.3
Canada,North America,2016,Wheat,5.36,13.44,1138.6,No,89.8,4.8,15.3
Turkey,Middle East & North Africa,2021,Maize (Corn),8.13,23.79,570.8,No,141.7,0.85,34.1
Pakistan,South Asia,2009,Soybeans,3.88,21.23,986.2,No,26.0,5.37,43.9
Uganda,Sub-Saharan Africa,2001,Maize (Corn),5.19,29.29,967.7,No,30.5,2.08,66.8
Ukraine,Europe,2014,Soybeans,4.91,16.95,690.9,No,136.7,2.24,23.9
Uganda,Sub-Saharan Africa,2010,Maize (Corn),6.01,27.31,1106.6,No,42.3,0.97,55.4
United States,North America,2025,Wheat,4.9,15.66,665.5,No,61.2,4.16,31.7
Mexico,North America,2011,Maize (Corn),6.33,14.39,979.7,No,59.0,3.46,35.7
Kenya,Sub-Saharan Africa,2017,Cassava,18.22,25.93,1110.9,No,257.2,2.9,54.0
Turkey,Middle East & North Africa,2000,Cassava,10.44,21.72,326.3,Yes,136.8,1.77,75.1
Argentina,South America,2025,Wheat,2.62,26.63,1007.6,Yes,56.5,3.11,48.1
Sudan,Sub-Saharan Africa,2013,Soybeans,3.59,26.53,749.3,No,48.4,3.16,62.8
Canada,North America,2001,Potatoes,23.19,16.18,1335.1,No,82.8,1.74,28.1
Kenya,Sub-Saharan Africa,2004,Rice,6.14,26.9,880.8,No,114.6,2.81,60.1
Nigeria,Sub-Saharan Africa,2017,Maize (Corn),7.63,25.11,1070.3,No,144.8,1.59,57.5
Ukraine,Europe,2007,Potatoes,22.61,16.15,973.3,No,20.8,1.8,25.8
Pakistan,South Asia,2025,Rice,4.64,25.35,1599.4,Yes,129.2,4.44,61.2
Mexico,North America,2012,Cassava,16.1,14.08,827.8,No,128.2,0.99,38.3
Mexico,North America,2019,Cassava,16.24,16.56,725.8,No,150.8,2.6,26.5
Argentina,South America,2025,Soybeans,5.13,22.81,545.1,No,136.4,2.14,20.1
Tanzania,Sub-Saharan Africa,2011,Rice,4.81,23.49,710.8,No,31.2,2.34,56.8
Indonesia,Southeast Asia,2007,Rice,5.81,21.13,2106.1,No,94.2,0.9,20.4
Bangladesh,South Asia,2017,Cassava,15.83,24.09,1288.6,No,116.2,2.19,50.7
Pakistan,South Asia,2024,Rice,6.02,23.67,1073.6,No,95.3,3.46,46.1
Turkey,Middle East & North Africa,2023,Cassava,16.23,22.63,593.7,No,90.1,1.69,40.2
Sudan,Sub-Saharan Africa,2025,Cassava,8.13,29.91,1156.5,Yes,66.7,2.55,89.7
Argentina,South America,2010,Cassava,16.9,23.4,473.8,No,189.3,1.91,18.4
Argentina,South America,2004,Rice,6.16,22.54,809.8,No,96.6,1.97,22.6
Kenya,Sub-Saharan Africa,2023,Potatoes,23.26,28.04,638.8,No,91.4,2.55,54.7
Argentina,South America,2016,Soybeans,4.94,23.25,816.7,No,86.1,2.99,19.5
India,South Asia,2022,Maize (Corn),7.7,20.79,969.5,No,132.6,3.26,33.3
Mexico,North America,2018,Cassava,9.66,17.69,806.3,Yes,44.7,1.66,42.8
Egypt,Middle East & North Africa,2019,Soybeans,4.27,23.25,714.3,No,61.0,6.57,31.3
Thailand,Southeast Asia,2010,Potatoes,23.09,22.94,1769.5,No,72.2,3.02,30.1
India,South Asia,2003,Soybeans,4.78,19.89,838.7,No,115.5,1.54,35.6
Egypt,Middle East & North Africa,2007,Soybeans,4.09,22.67,389.5,Yes,126.1,0.23,63.3
Vietnam,Southeast Asia,2013,Wheat,5.67,25.87,1163.4,No,165.4,2.89,26.2
France,Europe,2011,Wheat,5.06,11.01,1311.1,No,70.0,0.98,17.3
Brazil,South America,2011,Potatoes,24.19,18.97,989.9,No,112.2,4.27,21.1
Mexico,North America,2003,Potatoes,23.5,11.63,500.4,No,72.7,0.32,32.2
France,Europe,2002,Wheat,5.81,13.58,627.9,No,109.4,3.33,22.6
Turkey,Middle East & North Africa,2017,Cassava,17.27,20.23,906.9,No,192.4,3.56,37.1
Ethiopia,Sub-Saharan Africa,2002,Rice,5.6,26.02,1459.5,No,72.1,2.14,61.6
Argentina,South America,2015,Soybeans,3.94,24.53,991.7,Yes,136.1,3.62,41.1
India,South Asia,2019,Potatoes,23.8,22.49,1215.0,No,77.6,1.32,39.4
India,South Asia,2023,Potatoes,19.47,25.18,1051.5,No,55.2,0.64,49.4
Bangladesh,South Asia,2003,Soybeans,4.95,22.41,684.4,No,122.1,2.4,34.0
Canada,North America,2011,Rice,5.32,15.88,1124.7,No,58.3,5.3,28.6
Ethiopia,Sub-Saharan Africa,2001,Potatoes,23.66,25.41,899.3,No,77.0,2.12,62.3
Canada,North America,2004,Rice,5.71,11.93,843.3,No,68.0,2.84,20.4
United States,North America,2017,Maize (Corn),8.48,17.8,706.2,No,217.0,1.41,22.4
Tanzania,Sub-Saharan Africa,2002,Cassava,15.04,23.48,1264.7,No,41.1,1.42,54.4
China,East Asia,2019,Maize (Corn),6.88,20.66,985.0,No,50.4,3.15,30.1
Australia,Oceania,2008,Cassava,14.96,24.46,1204.7,No,84.1,0.25,36.6
Ethiopia,Sub-Saharan Africa,2015,Potatoes,22.75,28.29,644.2,No,49.4,3.18,62.3
South Africa,Sub-Saharan Africa,2008,Cassava,15.47,25.12,693.2,No,70.5,0.8,57.6
Nigeria,Sub-Saharan Africa,2008,Soybeans,5.57,24.78,1271.2,No,172.9,1.16,47.8
Ukraine,Europe,2023,Wheat,4.34,14.35,979.1,No,42.2,4.99,22.2
China,East Asia,2021,Potatoes,23.18,23.11,1440.8,No,55.7,1.66,29.9
Turkey,Middle East & North Africa,2003,Soybeans,4.06,22.71,456.3,No,85.2,2.97,34.6
Indonesia,Southeast Asia,2018,Wheat,4.29,25.2,1655.0,Yes,66.5,5.3,48.3
India,South Asia,2004,Potatoes,25.54,22.25,1130.6,No,239.2,2.01,48.4
Indonesia,Southeast Asia,2009,Wheat,6.5,21.2,1507.1,No,141.7,2.99,15.7
Nigeria,Sub-Saharan Africa,2013,Potatoes,24.23,24.11,1284.2,No,107.9,6.41,57.0
Argentina,South America,2009,Cassava,15.83,22.84,939.9,No,97.4,4.15,20.9
Sudan,Sub-Saharan Africa,2010,Maize (Corn),7.67,25.5,1069.9,No,114.2,2.41,69.5
Germany,Europe,2007,Soybeans,3.79,14.6,767.2,No,65.3,3.61,24.9
Kenya,Sub-Saharan Africa,2001,Potatoes,24.45,28.41,893.4,No,143.4,2.69,60.8
France,Europe,2015,Soybeans,4.14,13.23,1002.6,No,63.6,6.35,14.9
Uganda,Sub-Saharan Africa,2014,Potatoes,17.4,25.86,431.0,Yes,130.9,1.9,87.5
Ukraine,Europe,2009,Potatoes,24.17,13.49,938.5,No,126.1,2.57,23.8
Germany,Europe,2000,Potatoes,10.54,17.41,729.1,Yes,69.2,1.83,65.6
Kenya,Sub-Saharan Africa,2002,Maize (Corn),9.82,25.22,581.5,No,238.7,1.97,59.6
Pakistan,South Asia,2010,Potatoes,22.84,18.91,1172.5,No,35.8,0.9,34.8
Uganda,Sub-Saharan Africa,2017,Soybeans,3.46,30.42,1040.6,No,62.8,0.22,53.1
Ukraine,Europe,2021,Maize (Corn),7.32,12.97,945.9,No,125.3,4.75,15.4
Ukraine,Europe,2010,Wheat,4.61,11.74,1205.6,No,45.8,0.95,29.2
Argentina,South America,2017,Potatoes,23.45,20.04,864.4,No,35.1,0.86,28.8
Ukraine,Europe,2002,Cassava,14.64,13.22,623.9,No,38.9,1.32,33.2
Thailand,Southeast Asia,2006,Maize (Corn),7.31,22.08,1870.0,No,79.9,3.63,20.1
Kenya,Sub-Saharan Africa,2018,Wheat,6.66,24.71,694.1,No,146.3,3.76,61.5
Ethiopia,Sub-Saharan Africa,2025,Potatoes,13.31,30.18,683.9,Yes,116.5,1.67,85.6
Sudan,Sub-Saharan Africa,2012,Maize (Corn),6.57,23.23,1223.3,No,77.0,0.32,52.1
Kenya,Sub-Saharan Africa,2011,Potatoes,23.92,26.92,985.2,No,68.3,2.88,60.6
Pakistan,South Asia,2010,Cassava,15.89,21.01,853.4,No,63.9,9.53,40.9
Nigeria,Sub-Saharan Africa,2018,Maize (Corn),8.15,24.8,508.6,No,156.8,3.51,45.4
Ukraine,Europe,2002,Potatoes,23.44,15.9,630.6,No,62.8,3.4,26.4
United States,North America,2003,Maize (Corn),7.79,15.98,689.3,No,147.8,1.32,18.2
Canada,North America,2012,Soybeans,3.5,14.97,790.4,No,76.6,2.89,26.8
Bangladesh,South Asia,2005,Rice,6.16,20.73,1501.0,No,142.2,2.59,37.9
Argentina,South America,2004,Rice,6.36,19.36,1304.7,No,105.7,3.27,18.9
Kenya,Sub-Saharan Africa,2000,Wheat,5.47,25.22,1401.9,No,70.6,3.17,58.5
India,South Asia,2005,Maize (Corn),7.28,23.09,675.0,No,76.7,4.42,40.6
Tanzania,Sub-Saharan Africa,2001,Wheat,5.54,22.3,891.2,No,41.2,8.53,60.9
Sudan,Sub-Saharan Africa,2021,Wheat,5.25,29.87,1050.6,No,69.1,5.45,43.3
Sudan,Sub-Saharan Africa,2009,Cassava,15.31,25.02,757.0,No,69.2,0.91,57.4
Egypt,Middle East & North Africa,2000,Potatoes,18.51,23.33,448.2,Yes,165.9,1.69,66.2
Australia,Oceania,2013,Rice,5.9,23.05,853.9,No,77.9,2.58,20.0
Thailand,Southeast Asia,2015,Wheat,4.95,24.18,1041.5,No,62.4,3.23,26.0
Ethiopia,Sub-Saharan Africa,2001,Soybeans,4.37,24.12,1609.8,No,107.9,1.95,62.9
South Africa,Sub-Saharan Africa,2009,Rice,6.44,25.54,926.2,No,113.5,7.2,61.0
Germany,Europe,2003,Rice,6.77,13.13,1077.4,No,174.4,1.41,8.2
Mexico,North America,2006,Cassava,15.06,17.0,1253.2,No,50.5,4.13,24.5
Tanzania,Sub-Saharan Africa,2014,Wheat,4.74,25.18,834.7,No,53.5,3.24,62.7
Tanzania,Sub-Saharan Africa,2005,Maize (Corn),7.45,24.08,894.7,No,123.4,1.29,57.1
Pakistan,South Asia,2011,Potatoes,22.5,22.89,982.3,No,52.4,0.25,43.4
Pakistan,South Asia,2002,Potatoes,23.19,22.61,699.6,No,106.0,1.84,43.5
Australia,Oceania,2004,Maize (Corn),7.18,20.41,1261.8,No,54.6,4.45,22.9
Sudan,Sub-Saharan Africa,2017,Soybeans,3.87,25.84,787.3,No,77.8,1.47,38.5
Kenya,Sub-Saharan Africa,2018,Soybeans,3.74,26.12,1276.4,No,64.1,0.69,59.2
South Africa,Sub-Saharan Africa,2018,Rice,6.11,31.29,654.4,No,134.7,3.37,58.8
Australia,Oceania,2019,Rice,6.44,23.3,837.7,No,120.6,2.97,20.7
Ethiopia,Sub-Saharan Africa,2006,Potatoes,23.28,26.36,1430.5,No,103.6,0.2,61.7
France,Europe,2012,Rice,5.36,16.75,905.0,No,72.2,3.93,19.1
Australia,Oceania,2020,Soybeans,5.8,24.03,923.0,No,156.5,5.1,18.3
Bangladesh,South Asia,2016,Maize (Corn),4.31,25.29,1318.8,Yes,87.7,2.27,79.9
Argentina,South America,2019,Maize (Corn),6.51,21.91,989.7,No,51.9,5.22,23.2
Canada,North America,2004,Cassava,16.42,14.6,1348.5,No,117.5,2.79,23.7
Uganda,Sub-Saharan Africa,2002,Rice,5.15,23.96,487.7,No,49.2,2.14,61.5
Sudan,Sub-Saharan Africa,2016,Soybeans,4.11,23.52,935.1,No,37.5,4.71,58.7
Brazil,South America,2007,Cassava,15.42,24.31,910.6,No,121.8,2.6,35.0
Canada,North America,2006,Cassava,15.82,12.97,919.1,No,89.4,2.61,29.1
Canada,North America,2007,Soybeans,4.05,17.01,1052.7,No,114.5,0.7,18.6
Germany,Europe,2004,Maize (Corn),6.53,9.29,926.4,No,54.9,1.72,23.7
Ukraine,Europe,2024,Wheat,5.27,15.97,565.2,No,63.2,1.13,26.8
Ukraine,Europe,2023,Wheat,5.39,15.6,713.5,No,88.2,3.51,25.0
Sudan,Sub-Saharan Africa,2020,Cassava,15.44,26.07,552.8,No,101.5,0.5,50.0
Ukraine,Europe,2025,Maize (Corn),5.21,17.71,980.1,No,22.3,2.22,27.7
Nigeria,Sub-Saharan Africa,2008,Potatoes,23.79,25.14,812.6,No,105.4,2.08,59.6
Pakistan,South Asia,2008,Wheat,5.62,22.6,1217.7,No,101.1,4.02,41.4
Thailand,Southeast Asia,2016,Potatoes,25.1,23.58,1130.1,No,151.0,4.79,24.4
Germany,Europe,2022,Soybeans,4.74,14.43,659.2,No,94.7,1.94,28.0
Pakistan,South Asia,2002,Potatoes,23.36,24.66,1021.2,No,77.0,1.39,49.0
Nigeria,Sub-Saharan Africa,2023,Cassava,16.12,25.0,1365.3,No,96.1,5.98,54.5
Australia,Oceania,2009,Cassava,16.42,21.51,998.7,No,115.9,5.96,28.5
Tanzania,Sub-Saharan Africa,2010,Soybeans,3.78,25.58,894.2,No,87.8,0.43,55.0
China,East Asia,2002,Cassava,15.01,24.22,630.9,No,66.3,1.24,27.5
China,East Asia,2008,Wheat,2.99,26.04,989.5,Yes,92.8,2.6,53.1
Thailand,Southeast Asia,2002,Wheat,5.78,22.08,1374.0,No,119.0,4.04,22.9
Tanzania,Sub-Saharan Africa,2009,Wheat,5.2,25.97,1198.2,No,78.3,2.18,49.3
Germany,Europe,2019,Rice,5.35,15.55,1072.2,No,62.6,0.95,22.5
Indonesia,Southeast Asia,2013,Potatoes,23.77,22.95,1734.5,No,125.3,2.61,16.7
Brazil,South America,2008,Potatoes,23.34,18.09,1368.2,No,88.0,1.35,19.6
Kenya,Sub-Saharan Africa,2013,Soybeans,4.77,26.25,706.7,No,91.2,4.68,53.7
Germany,Europe,2020,Maize (Corn),6.15,20.16,922.2,No,119.5,1.35,25.4
Pakistan,South Asia,2018,Rice,5.59,23.25,1406.5,No,114.7,1.83,45.3
Thailand,Southeast Asia,2006,Potatoes,24.24,21.7,1074.7,No,134.3,0.96,26.1
Kenya,Sub-Saharan Africa,2011,Soybeans,5.6,27.77,981.8,No,140.8,1.79,52.7
Mexico,North America,2010,Cassava,15.24,15.93,1105.3,No,49.1,4.73,31.8
Nigeria,Sub-Saharan Africa,2003,Wheat,4.28,28.09,748.5,No,47.1,1.78,56.0
Tanzania,Sub-Saharan Africa,2010,Rice,4.78,27.39,766.6,No,39.2,2.1,57.2
Bangladesh,South Asia,2020,Potatoes,23.49,21.36,825.2,No,63.8,1.26,47.1
Nigeria,Sub-Saharan Africa,2024,Maize (Corn),6.5,27.38,740.3,No,64.1,1.65,60.4
Tanzania,Sub-Saharan Africa,2021,Wheat,7.47,26.12,948.3,No,212.3,3.12,55.6
Ukraine,Europe,2013,Potatoes,24.29,16.12,970.8,No,156.0,2.54,31.9
Nigeria,Sub-Saharan Africa,2013,Wheat,5.54,25.28,1240.8,No,48.1,4.98,55.1
Australia,Oceania,2025,Maize (Corn),6.23,23.78,770.7,No,47.1,0.41,19.9
Germany,Europe,2007,Soybeans,4.72,12.63,845.6,No,108.3,6.55,21.3
South Africa,Sub-Saharan Africa,2006,Potatoes,23.59,28.23,871.6,No,48.1,5.62,49.7
United States,North America,2023,Potatoes,23.12,16.74,617.1,No,67.3,0.78,35.3
Ukraine,Europe,2020,Potatoes,22.96,15.9,1110.1,No,56.8,0.88,19.6
Uganda,Sub-Saharan Africa,2009,Potatoes,24.05,26.25,1156.6,No,91.1,1.14,64.5
Pakistan,South Asia,2025,Maize (Corn),8.42,23.83,1087.0,No,132.6,3.71,37.5
France,Europe,2012,Maize (Corn),7.16,14.0,904.3,No,133.4,2.81,26.9
Tanzania,Sub-Saharan Africa,2005,Cassava,15.23,24.27,1230.7,No,73.4,2.13,58.8
Ethiopia,Sub-Saharan Africa,2007,Wheat,5.98,24.93,984.7,No,118.0,2.33,61.6
Argentina,South America,2007,Cassava,16.63,19.88,871.2,No,124.8,6.23,29.6
Uganda,Sub-Saharan Africa,2010,Cassava,13.55,29.32,1358.5,No,72.2,0.86,66.6
Bangladesh,South Asia,2007,Potatoes,23.98,19.45,716.9,No,130.5,1.45,35.6
Sudan,Sub-Saharan Africa,2006,Rice,5.28,27.24,1060.1,No,44.1,3.21,53.9
Ethiopia,Sub-Saharan Africa,2025,Maize (Corn),8.01,28.02,986.4,No,171.2,5.93,47.6
Canada,North America,2008,Wheat,4.28,17.13,1205.3,Yes,136.4,5.82,37.5
Argentina,South America,2011,Maize (Corn),8.68,24.93,982.9,No,122.4,7.86,18.8
Canada,North America,2004,Rice,5.14,16.39,1157.9,No,23.5,3.47,25.8
Tanzania,Sub-Saharan Africa,2016,Cassava,15.23,25.81,895.0,No,48.8,2.38,49.1
Egypt,Middle East & North Africa,2024,Maize (Corn),6.39,22.69,947.9,No,57.8,2.66,43.0
France,Europe,2016,Cassava,15.54,13.89,1184.7,No,84.5,5.99,34.4
Thailand,Southeast Asia,2020,Rice,6.4,21.17,1545.0,No,101.9,2.76,25.5
Turkey,Middle East & North Africa,2017,Potatoes,24.19,19.49,631.4,No,123.2,3.09,48.0
Bangladesh,South Asia,2001,Cassava,15.57,23.65,1027.1,No,75.8,2.33,45.0
Tanzania,Sub-Saharan Africa,2015,Rice,6.9,25.25,797.5,No,144.9,2.66,52.2
Ukraine,Europe,2024,Potatoes,19.89,17.84,1018.1,No,64.8,2.5,29.2
Uganda,Sub-Saharan Africa,2024,Soybeans,2.34,30.37,1246.6,Yes,66.3,0.49,80.1
Ukraine,Europe,2022,Soybeans,4.53,16.03,1182.2,No,98.6,3.87,29.8
Sudan,Sub-Saharan Africa,2014,Soybeans,4.79,24.48,929.5,No,83.6,4.77,62.6
Tanzania,Sub-Saharan Africa,2016,Soybeans,4.77,23.98,1153.3,No,136.6,1.38,47.5
France,Europe,2009,Soybeans,3.35,16.44,1384.9,No,53.0,2.75,34.7
Kenya,Sub-Saharan Africa,2009,Rice,4.78,30.07,1071.8,No,67.8,5.07,53.4
Argentina,South America,2013,Maize (Corn),7.06,22.77,1051.0,No,82.7,2.4,18.7
Nigeria,Sub-Saharan Africa,2010,Soybeans,5.4,24.72,1292.8,No,125.7,6.73,50.8
Tanzania,Sub-Saharan Africa,2008,Rice,7.13,25.58,1192.0,No,128.0,4.63,64.4
South Africa,Sub-Saharan Africa,2002,Cassava,15.68,23.9,664.2,No,85.3,2.07,65.4
United States,North America,2010,Maize (Corn),6.99,14.87,1058.4,No,61.7,2.94,22.7
Kenya,Sub-Saharan Africa,2008,Maize (Corn),6.59,24.93,1130.4,No,55.2,3.32,57.3
Thailand,Southeast Asia,2014,Maize (Corn),7.75,22.44,1873.0,No,135.8,2.56,22.3
Sudan,Sub-Saharan Africa,2014,Soybeans,3.55,27.65,1130.2,No,60.9,1.33,54.2
Turkey,Middle East & North Africa,2010,Maize (Corn),6.21,23.4,620.2,No,66.6,1.14,47.6
Brazil,South America,2015,Cassava,16.11,23.74,920.6,No,104.3,1.88,27.1
Egypt,Middle East & North Africa,2017,Soybeans,4.14,27.98,781.1,No,97.3,3.85,37.8
Australia,Oceania,2007,Maize (Corn),7.96,22.21,1347.5,No,140.2,2.18,31.1
Egypt,Middle East & North Africa,2023,Soybeans,3.17,25.53,282.4,Yes,125.9,1.34,66.6
Argentina,South America,2007,Cassava,16.1,20.18,572.3,No,138.0,2.72,27.8
Indonesia,Southeast Asia,2005,Rice,5.93,25.77,1288.9,No,122.2,3.51,24.6
Australia,Oceania,2015,Cassava,8.29,25.01,436.7,Yes,72.1,3.88,59.0
Turkey,Middle East & North Africa,2006,Rice,5.44,21.71,901.6,No,60.2,1.65,44.6
South Africa,Sub-Saharan Africa,2014,Rice,3.82,31.68,872.7,Yes,99.0,1.81,80.5
Nigeria,Sub-Saharan Africa,2023,Wheat,4.85,26.88,888.0,No,92.9,1.91,59.5
Egypt,Middle East & North Africa,2021,Wheat,5.32,22.33,458.2,No,70.0,2.83,39.2
Ukraine,Europe,2001,Maize (Corn),7.52,14.4,521.2,No,94.8,4.3,22.4
Australia,Oceania,2020,Soybeans,4.51,22.39,1242.1,No,112.1,3.37,16.0
Ukraine,Europe,2004,Cassava,15.02,12.6,1076.8,No,51.5,2.35,25.1
France,Europe,2013,Potatoes,23.56,13.55,474.9,No,109.8,1.2,19.0
Australia,Oceania,2016,Maize (Corn),5.67,21.5,1444.8,No,26.7,0.57,31.5
Ukraine,Europe,2004,Cassava,16.29,15.43,1037.1,No,122.9,2.01,17.3
Ukraine,Europe,2021,Maize (Corn),3.82,14.88,380.6,Yes,78.1,2.39,52.7
Pakistan,South Asia,2020,Cassava,15.86,21.37,1006.9,No,96.1,3.88,40.7
Kenya,Sub-Saharan Africa,2012,Maize (Corn),7.23,25.7,751.9,No,121.5,1.79,52.9
Canada,North America,2012,Rice,5.87,15.58,988.4,No,103.2,1.75,25.7
United States,North America,2015,Maize (Corn),8.53,14.71,881.4,No,184.0,4.76,17.0
Kenya,Sub-Saharan Africa,2017,Cassava,14.19,26.47,824.9,No,26.7,0.92,66.1
France,Europe,2001,Cassava,14.89,15.35,628.0,No,35.5,2.7,31.9
Kenya,Sub-Saharan Africa,2011,Potatoes,24.48,26.39,891.4,No,156.9,2.53,56.1
Kenya,Sub-Saharan Africa,2021,Cassava,15.2,25.42,1072.6,No,74.2,1.6,53.1
Tanzania,Sub-Saharan Africa,2021,Maize (Corn),3.63,29.62,885.0,Yes,81.2,0.76,92.2
Tanzania,Sub-Saharan Africa,2021,Potatoes,24.46,27.06,857.5,No,119.8,3.91,63.8
Tanzania,Sub-Saharan Africa,2022,Potatoes,23.78,27.64,1151.9,No,103.6,2.81,55.5
Ukraine,Europe,2002,Potatoes,24.67,16.52,1020.1,No,145.6,1.07,27.5
United States,North America,2007,Wheat,4.84,12.83,852.1,No,54.0,6.27,25.7
Sudan,Sub-Saharan Africa,2007,Wheat,5.51,26.23,1103.5,No,103.4,3.54,47.7
Brazil,South America,2002,Maize (Corn),8.21,23.36,707.7,No,172.7,2.21,16.4
Tanzania,Sub-Saharan Africa,2014,Rice,4.27,31.25,1048.9,No,58.5,5.32,54.7
Mexico,North America,2000,Maize (Corn),8.07,10.3,654.8,No,152.3,2.19,30.6
Bangladesh,South Asia,2006,Wheat,5.61,23.5,718.9,No,150.4,1.71,36.7
Argentina,South America,2021,Rice,4.83,22.08,1106.5,No,41.2,2.41,22.4
Vietnam,Southeast Asia,2013,Soybeans,5.6,22.62,1123.3,No,134.6,1.52,27.1
South Africa,Sub-Saharan Africa,2003,Soybeans,5.03,26.86,800.8,No,86.6,6.23,46.3
Bangladesh,South Asia,2003,Cassava,11.1,24.25,237.0,Yes,143.4,3.54,75.2
Kenya,Sub-Saharan Africa,2003,Maize (Corn),8.03,27.1,993.3,No,135.2,5.52,46.6
Turkey,Middle East & North Africa,2001,Maize (Corn),5.68,21.5,291.1,Yes,183.4,2.31,66.4
France,Europe,2008,Soybeans,4.25,14.62,849.0,No,79.2,2.6,35.4
India,South Asia,2024,Soybeans,3.39,23.9,740.1,No,33.0,1.96,37.0
Ukraine,Europe,2017,Soybeans,4.85,13.13,699.6,No,132.9,2.76,24.6
United States,North America,2003,Rice,4.17,17.06,1166.2,Yes,102.2,0.9,37.7
India,South Asia,2023,Rice,4.21,25.42,1159.7,Yes,70.3,1.24,62.8
Egypt,Middle East & North Africa,2011,Potatoes,24.08,24.88,744.8,No,96.1,3.66,43.5
Ukraine,Europe,2004,Cassava,16.65,16.14,968.5,No,122.1,5.33,17.9
Ukraine,Europe,2007,Potatoes,23.23,13.7,774.1,No,50.0,3.9,12.8
Vietnam,Southeast Asia,2023,Wheat,6.18,22.7,874.1,No,120.6,6.24,24.8
Canada,North America,2011,Potatoes,24.93,15.02,1194.1,No,141.4,4.62,20.2
Australia,Oceania,2024,Rice,7.27,22.3,1020.1,No,151.5,2.44,19.8
China,East Asia,2021,Cassava,9.16,25.77,912.9,Yes,77.6,3.59,57.1
China,East Asia,2008,Wheat,5.76,19.67,771.4,No,87.9,4.92,18.3
South Africa,Sub-Saharan Africa,2013,Potatoes,23.07,26.89,699.8,No,97.2,1.36,69.6
Mexico,North America,2019,Rice,7.02,15.03,883.1,No,135.7,5.91,23.6
Tanzania,Sub-Saharan Africa,2020,Cassava,15.46,27.52,801.9,No,89.5,3.22,65.0
Sudan,Sub-Saharan Africa,2003,Maize (Corn),7.58,26.02,1401.3,No,98.8,4.46,66.0
Argentina,South America,2002,Wheat,4.4,21.65,867.0,No,46.6,0.42,20.0
Argentina,South America,2018,Maize (Corn),7.7,21.79,1263.8,No,108.6,4.01,22.9
Vietnam,Southeast Asia,2023,Cassava,15.36,19.15,1307.7,No,66.6,2.2,27.2
Thailand,Southeast Asia,2016,Wheat,6.09,24.02,1417.2,No,146.9,3.13,22.5
India,South Asia,2013,Maize (Corn),7.52,22.54,1332.8,No,86.0,3.24,44.4
China,East Asia,2012,Rice,7.32,17.99,1068.8,No,190.2,1.87,28.4
Ukraine,Europe,2015,Potatoes,24.53,16.1,1230.2,No,117.1,4.3,24.1
United States,North America,2001,Wheat,5.73,11.54,1288.0,No,72.8,8.35,18.8
Germany,Europe,2016,Cassava,12.84,17.59,616.0,No,40.5,4.99,29.6
Sudan,Sub-Saharan Africa,2007,Rice,5.11,23.17,703.0,No,30.6,4.1,57.0
Argentina,South America,2006,Rice,5.6,25.64,1245.7,Yes,148.2,4.31,44.3
Tanzania,Sub-Saharan Africa,2008,Cassava,15.46,25.94,1102.6,No,108.2,0.9,56.2
Thailand,Southeast Asia,2011,Potatoes,23.95,22.54,1241.5,No,90.4,2.28,21.7
Tanzania,Sub-Saharan Africa,2020,Soybeans,3.88,20.66,764.2,No,87.8,0.87,54.2
Thailand,Southeast Asia,2023,Maize (Corn),6.33,25.08,1345.1,No,158.8,1.19,16.9
Mexico,North America,2020,Maize (Corn),5.77,14.95,1424.6,No,35.3,3.42,18.1
Thailand,Southeast Asia,2002,Soybeans,4.38,22.53,1349.4,No,82.5,2.29,26.4
Germany,Europe,2017,Maize (Corn),6.52,16.1,626.7,No,59.3,2.75,22.0
Tanzania,Sub-Saharan Africa,2020,Potatoes,22.99,27.64,1247.1,No,48.5,2.63,54.2
Nigeria,Sub-Saharan Africa,2012,Potatoes,25.1,24.7,1033.3,No,143.8,4.63,50.9
Bangladesh,South Asia,2014,Maize (Corn),7.07,19.87,1305.2,No,66.3,2.39,43.4
Kenya,Sub-Saharan Africa,2003,Maize (Corn),7.45,23.01,969.5,No,76.9,7.18,55.1
Tanzania,Sub-Saharan Africa,2011,Potatoes,24.45,27.32,1115.1,No,95.2,2.35,59.7
Pakistan,South Asia,2012,Wheat,4.52,21.45,940.8,No,74.1,1.7,44.4
